time_period,data_version,time_identifier,geographic_level,country_code,country_name,core_component,sex,grade,count,percent,cumulative_count,cumulative_percent
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,Unclassified,4,2.2,183,100
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Female,Number of students,971,z,z,z
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Female,A*,9,0.9,9,0.9
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Female,A,133,13.7,142,14.6
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Female,B,314,32.3,456,47
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Female,C,310,31.9,766,78.9
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Female,D,159,16.4,925,95.3
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Female,E,46,4.7,971,100
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Female,Unclassified,0,0,971,100
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Male,Number of students,49,z,z,z
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Male,A*,1,2,1,2
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Male,A,1,2,2,4.1
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Male,B,13,26.5,15,30.6
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Male,C,20,40.8,35,71.4
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Male,D,10,20.4,45,91.8
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Male,E,4,8.2,49,100
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Male,Unclassified,0,0,49,100
202223,Revised,Academic year,National,E92000001,England,Health,Female,Number of students,661,z,z,z
202223,Revised,Academic year,National,E92000001,England,Health,Female,A*,2,0.3,2,0.3
202223,Revised,Academic year,National,E92000001,England,Health,Female,A,62,9.4,64,9.7
202223,Revised,Academic year,National,E92000001,England,Health,Female,B,214,32.4,278,42.1
202223,Revised,Academic year,National,E92000001,England,Health,Female,C,236,35.7,514,77.8
202223,Revised,Academic year,National,E92000001,England,Health,Female,D,120,18.2,634,95.9
202223,Revised,Academic year,National,E92000001,England,Health,Female,E,26,3.9,660,99.8
202223,Revised,Academic year,National,E92000001,England,Health,Female,Unclassified,1,0.2,661,100
202223,Revised,Academic year,National,E92000001,England,Health,Male,Number of students,62,z,z,z
202223,Revised,Academic year,National,E92000001,England,Health,Male,A*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Health,Male,A,3,4.8,3,4.8
202223,Revised,Academic year,National,E92000001,England,Health,Male,B,14,22.6,17,27.4
202223,Revised,Academic year,National,E92000001,England,Health,Male,C,26,41.9,43,69.4
202223,Revised,Academic year,National,E92000001,England,Health,Male,D,13,21,56,90.3
202223,Revised,Academic year,National,E92000001,England,Health,Male,E,6,9.7,62,100
202223,Revised,Academic year,National,E92000001,England,Health,Male,Unclassified,0,0,62,100
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Female,Number of students,24,z,z,z
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Female,A*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Female,A,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Female,B,2,8.3,2,8.3
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Female,C,8,33.3,10,41.7
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Female,D,8,33.3,18,75
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Female,E,6,25,24,100
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Female,Unclassified,0,0,24,100
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Male,Number of students,8,z,z,z
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Male,A*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Male,A,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Male,B,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Male,C,1,12.5,1,12.5
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Male,D,5,62.5,6,75
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Male,E,1,12.5,7,87.5
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Male,Unclassified,1,12.5,8,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Female,Number of students,1,z,z,z
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Female,A*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Female,A,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Female,B,1,100,1,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Female,C,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Female,D,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Female,E,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Female,Unclassified,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Male,Number of students,74,z,z,z
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Male,A*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Male,A,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Male,B,4,5.4,4,5.4
