time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,occupational_specialism,sex,grade,count,percent,cumulative_count,cumulative_percent
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Data Technician,Male,Unclassified,3,8.6,35,100
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Female,Number of students,65,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Female,Distinction,6,9.2,6,9.2
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Female,Merit,31,47.7,37,56.9
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Female,Pass,26,40,63,96.9
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Female,Unclassified,2,3.1,65,100
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Male,Number of students,619,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Male,Distinction,65,10.5,65,10.5
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Male,Merit,259,41.8,324,52.3
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Male,Pass,233,37.6,557,90
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Male,Unclassified,62,10,619,100
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Infrastructure,Female,Number of students,5,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Infrastructure,Female,Distinction,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Infrastructure,Female,Merit,1,20,1,20
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Infrastructure,Female,Pass,3,60,4,80
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Infrastructure,Female,Unclassified,1,20,5,100
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Infrastructure,Male,Number of students,77,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Infrastructure,Male,Distinction,11,14.3,11,14.3
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Infrastructure,Male,Merit,31,40.3,42,54.5
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Infrastructure,Male,Pass,27,35.1,69,89.6
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Infrastructure,Male,Unclassified,8,10.4,77,100
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Support,Female,Number of students,3,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Support,Female,Distinction,1,33.3,1,33.3
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Support,Female,Merit,1,33.3,2,66.7
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Support,Female,Pass,1,33.3,3,100
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Support,Female,Unclassified,0,0,3,100
