time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,sex,grade,count,percent,cumulative_count,cumulative_percent
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Pass,375,40.3,821,88.3
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Unclassified,109,11.7,930,100
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Female,Number of students,21,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Female,Distinction,5,23.8,5,23.8
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Female,Merit,7,33.3,12,57.1
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Female,Pass,7,33.3,19,90.5
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Female,Unclassified,2,9.5,21,100
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Male,Number of students,273,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Male,Distinction,64,23.4,64,23.4
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Male,Merit,94,34.4,158,57.9
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Male,Pass,75,27.5,233,85.3
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Male,Unclassified,40,14.7,273,100
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,Female,Number of students,1447,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,Female,Distinction,460,31.8,460,31.8
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,Female,Merit,750,51.8,1210,83.6
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,Female,Pass,212,14.7,1422,98.3
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,Female,Unclassified,25,1.7,1447,100
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,Male,Number of students,83,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,Male,Distinction,23,27.7,23,27.7
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,Male,Merit,40,48.2,63,75.9
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,Male,Pass,17,20.5,80,96.4
