time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,sex,grade,count,percent,cumulative_count,cumulative_percent
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Unclassified,0,0,107,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Number of students,180,z,z,z
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Distinction*,5,2.8,5,2.8
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Distinction,54,30,59,32.8
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Merit,97,53.9,156,86.7
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Pass,20,11.1,176,97.8
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Partial achievement,4,2.2,180,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Unclassified,0,0,180,100
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Number of students,372,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Distinction*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Distinction,70,18.8,70,18.8
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Merit,238,64,308,82.8
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Pass,51,13.7,359,96.5
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Partial achievement,13,3.5,372,100
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Unclassified,0,0,372,100
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Number of students,572,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Distinction*,1,0.2,1,0.2
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Distinction,76,13.3,77,13.5
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Merit,333,58.2,410,71.7
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Pass,130,22.7,540,94.4
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Partial achievement,30,5.2,570,99.7
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Unclassified,2,0.3,572,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Number of students,200,z,z,z
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Distinction*,7,3.5,7,3.5
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Distinction,67,33.5,74,37
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Merit,101,50.5,175,87.5
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Pass,21,10.5,196,98
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Partial achievement,4,2,200,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Unclassified,0,0,200,100
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Number of students,444,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Distinction*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Distinction,87,19.6,87,19.6
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Merit,279,62.8,366,82.4
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Pass,61,13.7,427,96.2
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Partial achievement,16,3.6,443,99.8
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Unclassified,1,0.2,444,100
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Number of students,686,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Distinction*,1,0.1,1,0.1
